way,name,way_id,node_id,highway,lat,lng,bearing
"<overpy.Way id=173791994 nodes=[5233328949, 6363741202, 1318532484, 1318532396]>",Prince Edward Road,173791994,6363741202,tertiary,1.2750510,103.8473346,291.35059744371443
"<overpy.Way id=173791994 nodes=[5233328949, 6363741202, 1318532484, 1318532396]>",Prince Edward Road,173791994,1318532484,tertiary,1.2750680,103.8472911,295.51938654413425
"<overpy.Way id=173791994 nodes=[5233328949, 6363741202, 1318532484, 1318532396]>",Prince Edward Road,173791994,1318532396,tertiary,1.2750890,103.8472471,
"<overpy.Way id=117042162 nodes=[1318532484, 1318532432, 6365357163, 1633165169, 1318532501]>",n/a,117042162,1318532484,service,1.2750680,103.8472911,22.552220298843963
"<overpy.Way id=117042162 nodes=[1318532484, 1318532432, 6365357163, 1633165169, 1318532501]>",n/a,117042162,1318532432,service,1.2751200,103.8473127,6.338634456012528
"<overpy.Way id=117042162 nodes=[1318532484, 1318532432, 6365357163, 1633165169, 1318532501]>",n/a,117042162,6365357163,service,1.2751263,103.8473134,6.089334007939556
"<overpy.Way id=117042162 nodes=[1318532484, 1318532432, 6365357163, 1633165169, 1318532501]>",n/a,117042162,1633165169,service,1.2751591,103.8473169,348.2913262550227
"<overpy.Way id=117042162 nodes=[1318532484, 1318532432, 6365357163, 1633165169, 1318532501]>",n/a,117042162,1318532501,service,1.2752961,103.8472885,
"<overpy.Way id=117042162 nodes=[1318532484, 1318532432, 6365357163, 1633165169, 1318532501]>",n/a,117042162,1318532484,service,1.2750680,103.8472911,22.552220298843963
"<overpy.Way id=117042162 nodes=[1318532484, 1318532432, 6365357163, 1633165169, 1318532501]>",n/a,117042162,1318532432,service,1.2751200,103.8473127,6.338634456012528
"<overpy.Way id=117042162 nodes=[1318532484, 1318532432, 6365357163, 1633165169, 1318532501]>",n/a,117042162,6365357163,service,1.2751263,103.8473134,6.089334007939556
"<overpy.Way id=117042162 nodes=[1318532484, 1318532432, 6365357163, 1633165169, 1318532501]>",n/a,117042162,1633165169,service,1.2751591,103.8473169,348.2913262550227
"<overpy.Way id=117042162 nodes=[1318532484, 1318532432, 6365357163, 1633165169, 1318532501]>",n/a,117042162,1318532501,service,1.2752961,103.8472885,
"<overpy.Way id=827674471 nodes=[1318532531, 1318544653]>",Anson Road,827674471,1318532531,trunk,1.2760880,103.8467313,41.23089439067212
"<overpy.Way id=827674471 nodes=[1318532531, 1318544653]>",Anson Road,827674471,1318544653,trunk,1.2761893,103.8468201,
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,1318532531,service,1.2760880,103.8467313,131.0230937279166
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,1318532442,service,1.2760172,103.8468127,135.73416727641882
